Month;Portfolio Value;Equity;Maintenance Margin Requirement;Margin Call
1;4080.0;2067.9166666666665;1020.0;false
2;4161.6;2149.516666666667;1040.4;false
3;4244.832;2232.748666666667;1061.208;false
4;4329.72864;2317.645306666667;1082.43216;false
5;4416.3232128;2404.2398794666665;1104.0808032;false
6;4504.649677056;2492.5663437226663;1126.162419264;false
7;4594.74267059712;2582.6593372637867;1148.68566764928;false
8;4686.637524009063;2674.5541906757294;1171.6593810022657;false
9;4780.370274489244;2768.286941155911;1195.092568622311;false
10;4875.97767997903;2863.8943466456963;1218.9944199947574;false
11;4973.497233578611;2961.413900245277;1243.3743083946526;false
12;5072.967178250183;3060.8838449168493;1268.2417945625457;false
